origWdId,origName,wpPage,stintType,timePeriod,teamName,teamWP,matchesPlayed,pointsScored
Q537933,Joe Warbrick,Joe_Warbrick,Amateur team(s),"1882, 1894",Tauranga,,,
Q537933,Joe Warbrick,Joe_Warbrick,Amateur team(s),1883,North Shore,/wiki/North_Shore_Rugby_Football_Club,,
Q541164,Bryan Williams,Bryan_Williams_(rugby_union),Amateur team(s),1968–1982,Ponsonby,/wiki/Ponsonby_RFC,,
Q542332,Paul Williams,Paul_Williams_(rugby_union_player),Amateur team(s),,Ponsonby,/wiki/Ponsonby_RFC,,
Q543135,Patrice Lagisquet,Patrice_Lagisquet,Amateur team(s),1980–1982,CA Bègles,/wiki/CA_B%C3%A8gles,,
Q543135,Patrice Lagisquet,Patrice_Lagisquet,Amateur team(s),1982–1992,Bayonne,/wiki/Aviron_Bayonnais,,
Q543135,Patrice Lagisquet,Patrice_Lagisquet,Amateur team(s),1992–1995,Biarritz,/wiki/Biarritz_Olympique,,
Q543795,Simon Best,Simon_Best,Amateur team(s),,Banbridge,/wiki/Banbridge_RFC,,
Q544142,Eoin Reddan,Eoin_Reddan,Amateur team(s),,Old Crescent,/wiki/Old_Crescent,,
Q544142,Eoin Reddan,Eoin_Reddan,Amateur team(s),–,Young Munster,/wiki/Young_Munster,,
Q544142,Eoin Reddan,Eoin_Reddan,Amateur team(s),–,Lansdowne,/wiki/Lansdowne_Football_Club,,
Q544444,Brett Papworth,Brett_Papworth,Amateur team(s),–,Epping Rugby,/wiki/Epping_Rugby_%26_Netball_Club,,
Q544444,Brett Papworth,Brett_Papworth,Amateur team(s),–,Eastwood,/wiki/Eastwood_Rugby_Club,,
Q544594,Tony Daly,Tony_Daly,Amateur team(s),,Eastern Suburbs RUFC,/wiki/Eastern_Suburbs_District_RUFC,,
Q546277,André Pretorius,Andr%C3%A9_Pretorius,Youth career,1998–1999,Golden Lions,/wiki/Lions_(United_Rugby_Championship),,
