"origWdId","origName","frName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","Senior","2012-2013","Stade niortais","Niort_Rugby_Club","16","0","2012","2013"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","Senior","2013-2014","DSV 78 Hanovre","DSV_78_Hanovre",NA,NA,"2013","2014"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","Senior","2014-2014","Heidelberger RK","Heidelberger_Ruderklub_1872_e.V.",NA,NA,"2014","2014"
"Q87794","Robert Mohr","Robert Mohr","Robert_Mohr","International","2008-2015","Allemagne","%C3%89quipe_d%27Allemagne_de_rugby_%C3%A0_XV","20","10","2008","2015"
"Q90321","Erwin Thiesies","Erwin Thiesies","Erwin_Thiesies","Senior","NA-NA","Tennis Borussia Berlin","Tennis_Borussia_Berlin","?","?",NA,NA
"Q90321","Erwin Thiesies","Erwin Thiesies","Erwin_Thiesies","Senior","NA-NA","BSV 92 Berlin","BSV_92_Berlin","?","?",NA,NA
"Q90321","Erwin Thiesies","Erwin Thiesies","Erwin_Thiesies","International","1936-1940","Allemagne","%C3%89quipe_d%27Allemagne_de_rugby_%C3%A0_XV","10","3","1936","1940"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2003-2011","Blues","Blues_(rugby_%C3%A0_XV)","96","195","2003","2011"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2004-2011","Auckland Rugby","Auckland_Rugby_Football_Union","38","80","2004","2011"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2011-2015","Aviron bayonnais","Aviron_bayonnais_rugby_pro","98","120","2011","2015"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","Senior","2015-2019","Racing 92","Racing_92","90","65","2015","2019"
"Q94780","Joe Rokocoko","Joe Rokocoko","Joe_Rokocoko","International","2003-2010","Nouvelle-Zélande","%C3%89quipe_de_Nouvelle-Z%C3%A9lande_de_rugby_%C3%A0_XV","68","230","2003","2010"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2003-2010","Leopards","Leopards_(rugby_%C3%A0_XV)","11","35","2003","2010"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2003-2010","Central Cheetahs","Cheetahs","24","25","2003","2010"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2006-2007","Griquas","Griqualand_West_Griquas","13","15","2006","2007"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2007-2012","CA Brive","Club_athl%C3%A9tique_Brive_Corr%C3%A8ze_Limousin","121","80","2007","2012"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2012-2012","FC Grenoble","Football_Club_de_Grenoble_rugby","7","2","2012","2012"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2013-2013","Southern Kings","Southern_Kings","15","10","2013","2013"
"Q94814","Ronnie Cooke","Ronnie Cooke","Ronnie_Cooke","Senior","2013-2015","Eastern Province Kings","Eastern_Province_Elephants","22","10","2013","2015"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2005-2006","Blue Bulls","Blue_Bulls","11","10","2005","2006"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2006-2006","Bulls","Bulls_(rugby_%C3%A0_XV)","7","0","2006","2006"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2007-2015","Free State Cheetahs","Free_State_Cheetahs","52","50","2007","2015"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2007-2015","Cheetahs","Cheetahs","100","45","2007","2015"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","Senior","2015-2018","Bulls","Bulls_(rugby_%C3%A0_XV)","51","55","2015","2018"
"Q113526","Adriaan Strauss","Adriaan Strauss","Adriaan_Strauss","International","2008-2016","Afrique du Sud","%C3%89quipe_d%27Afrique_du_Sud_de_rugby_%C3%A0_XV","66","30","2008","2016"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Youth","NA-NA","Jonsson College Rovers",NA,NA,NA,NA,NA
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Senior","2009-2017","Natal Sharks","Natal_Sharks","29","325","2009","2017"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Senior","2010-2017","Sharks","Sharks_(rugby_%C3%A0_XV)","56","571","2010","2017"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","Senior","2017-2019","Racing 92","Racing_92","18","60","2017","2019"
"Q127613","Patrick Lambie","Patrick Lambie","Patrick_Lambie","International","2010-2016","Afrique du Sud","%C3%89quipe_d%27Afrique_du_Sud_de_rugby_%C3%A0_XV","56","153","2010","2016"
"Q128407","Martín Bustos Moyano","Martín Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","Youth","1999-2009","Córdoba Athletic Club",NA,NA,NA,"1999","2009"
"Q128407","Martín Bustos Moyano","Martín Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","Senior","2009-2010","Pampas XV","Pampas_(rugby_%C3%A0_XV)","5","31","2009","2010"
"Q128407","Martín Bustos Moyano","Martín Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","Senior","2010-2013","Montpellier HR","Montpellier_H%C3%A9rault_Rugby","66","713","2010","2013"
"Q128407","Martín Bustos Moyano","Martín Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","Senior","2013-2019","Aviron bayonnais","Aviron_bayonnais_rugby_pro","125","1011","2013","2019"
"Q128407","Martín Bustos Moyano","Martín Bustos Moyano","Mart%C3%ADn_Bustos_Moyano","International","2008-2013","Argentine","%C3%89quipe_d%27Argentine_de_rugby_%C3%A0_XV","4","43","2008","2013"
"Q131895","Ross Filipo","Ross Filipo","Ross_Filipo","Senior","2001-2001","Malborough","Marlborough_Rugby_Union","7","0","2001","2001"
"Q131895","Ross Filipo","Ross Filipo","Ross_Filipo","Senior","2003-2008","Wellington","Wellington_Rugby_Football_Union","47","50","2003","2008"
"Q131895","Ross Filipo","Ross Filipo","Ross_Filipo","Senior","2004-2009","Crusaders","Crusaders","45","40","2004","2009"
"Q131895","Ross Filipo","Ross Filipo","Ross_Filipo","Senior","2009-2011","Bayonne","Aviron_bayonnais_rugby_pro","43","25","2009","2011"
