"rugbyscopeId","altNames","teamWP"
"98","ベッドフォード; ベッドフォード・ブルーズ","%E3%83%99%E3%83%83%E3%83%89%E3%83%95%E3%82%A9%E3%83%BC%E3%83%89%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%82%BA"
"13","ノッティンガムRFC; ノッティンガム","%E3%83%8E%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%A0RFC"
NA,"ノースハーバー",NA
NA,"コースタル・スタリオンズ",NA
NA,"パーテンプス・ビーズ",NA
"263","SUアジャン","SU%E3%82%A2%E3%82%B8%E3%83%A3%E3%83%B3"
"2205","ハートプリー大学RFC","%E3%83%8F%E3%83%BC%E3%83%88%E3%83%97%E3%83%AA%E3%83%BC%E5%A4%A7%E5%AD%A6RFC"
"332","ウスター・ウォリアーズ; ウスター","%E3%82%A6%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%82%A6%E3%82%A9%E3%83%AA%E3%82%A2%E3%83%BC%E3%82%BA"
NA,"タブア高校",NA
NA,"ラウトカ",NA
"209","ヤマハ発動機; 静岡BR; ヤマハ発動機ジュビロ","%E9%9D%99%E5%B2%A1%E3%83%96%E3%83%AB%E3%83%BC%E3%83%AC%E3%83%B4%E3%82%BA"
"324","USモントーバン","US%E3%83%A2%E3%83%B3%E3%83%88%E3%83%BC%E3%83%90%E3%83%B3"
NA,"Leeds Tykes",NA
NA,"オスプレイズ",NA
NA,"Montpellier",NA
NA,"Crusaders",NA
NA,"Southland",NA
NA,"Canterbury",NA
NA,"マリスト（英語版）",NA
NA,"Thiene",NA
NA,"オークランド（英語版）",NA
NA,"ニュージーランドU-21",NA
"136","バーバリアンズ","%E3%83%90%E3%83%BC%E3%83%90%E3%83%AA%E3%82%A2%E3%83%B3%E3%82%BA"
NA,"ニュージーランドU21",NA
NA,"ベイ・オブ・プレンティ",NA
"221","トンガ","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%88%E3%83%B3%E3%82%AC%E4%BB%A3%E8%A1%A8"
NA,"サニーバンク",NA
NA,"バリーモア・トルネードズ",NA
NA,"クイーンズランド・カントリー",NA
"909","アンプティルRUFC","%E3%82%A2%E3%83%B3%E3%83%97%E3%83%86%E3%82%A3%E3%83%ABRUFC"
"5","RCマシー; マシー","RC%E3%83%9E%E3%82%B7%E3%83%BC"
"249","USダクス","US%E3%83%80%E3%82%AF%E3%82%B9"
NA,"イプスウィッチ・グラマー・スクール",NA
"3801","グリフィス大学; Griffith University","%E3%82%B0%E3%83%AA%E3%83%95%E3%82%A3%E3%82%B9%E5%A4%A7%E5%AD%A6"
NA,"ブリスベン・ブロンコス",NA
NA,"ウェスツ",NA
NA,"シドニー・ユニバーシティ",NA
NA,"フォレスト・ビュー・高校",NA
NA,"ワイカト工科大学",NA
NA,"アイルランドU19",NA
NA,"アイルランドU21",NA
NA,"アイルランドA",NA
