"origWdId","origName","jaName","wpPage","stepType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q151572","Victor Vito","ヴィクター・ヴィト","%E3%83%B4%E3%82%A3%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%88","Senior",NA,"ウェリントン","",NA,NA,NA,NA
"Q151572","Victor Vito","ヴィクター・ヴィト","%E3%83%B4%E3%82%A3%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%88","Senior",NA,"ラ・ロシェル","/wiki/%E3%82%B9%E3%82%BF%E3%83%83%E3%83%89%E3%83%BB%E3%83%AD%E3%82%B7%E3%83%A5%E3%83%AC",NA,NA,NA,NA
"Q151572","Victor Vito","ヴィクター・ヴィト","%E3%83%B4%E3%82%A3%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%88","Senior","2009-2016","ハリケーンズ","/wiki/%E3%83%8F%E3%83%AA%E3%82%B1%E3%83%BC%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","100","60","2009","2016"
"Q151572","Victor Vito","ヴィクター・ヴィト","%E3%83%B4%E3%82%A3%E3%82%AF%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%B4%E3%82%A3%E3%83%88","International","2010-2022","ニュージーランド","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B8%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E4%BB%A3%E8%A1%A8","33","20","2010","2022"
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","Senior",NA,"グリクアス","",NA,NA,NA,NA
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","Senior",NA,"ブルー・ブルズ","",NA,NA,NA,NA
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","Senior",NA,"レンスター","/wiki/%E3%83%AC%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC",NA,NA,NA,NA
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","Senior",NA,"ドラゴンズ","/wiki/%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%A6%E3%83%8B%E3%82%AA%E3%83%B3)",NA,NA,NA,NA
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","Senior",NA,"ブリストル","/wiki/%E3%83%96%E3%83%AA%E3%82%B9%E3%83%88%E3%83%AB%E3%83%BB%E3%83%99%E3%82%A2%E3%83%BC%E3%82%BA",NA,NA,NA,NA
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","Senior","2008-2013","ブルズ","/wiki/%E3%83%96%E3%83%AB%E3%82%BA_(%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC)","82","105","2008","2013"
"Q166094","Zane Kirchner","ザイン・カーシュナー","%E3%82%B6%E3%82%A4%E3%83%B3%E3%83%BB%E3%82%AB%E3%83%BC%E3%82%B7%E3%83%A5%E3%83%8A%E3%83%BC","International","2009-","南アフリカ共和国","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8","31","25","2009",NA
"Q168675","Francois Pienaar","フランソワ・ピナール","%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%83%94%E3%83%8A%E3%83%BC%E3%83%AB","Senior","1989-1996","トランスヴァール","/wiki/%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%87%E3%83%B3%E3%83%BB%E3%83%A9%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BA","100",NA,"1989","1996"
"Q168675","Francois Pienaar","フランソワ・ピナール","%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%83%94%E3%83%8A%E3%83%BC%E3%83%AB","Senior","1997-2000","サラセンズ","/wiki/%E3%82%B5%E3%83%A9%E3%82%BB%E3%83%B3%E3%82%BA","44","55","1997","2000"
"Q168675","Francois Pienaar","フランソワ・ピナール","%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%83%94%E3%83%8A%E3%83%BC%E3%83%AB","International","1993-1996","南アフリカ共和国","/wiki/%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E5%8D%97%E3%82%A2%E3%83%95%E3%83%AA%E3%82%AB%E5%85%B1%E5%92%8C%E5%9B%BD%E4%BB%A3%E8%A1%A8","29","15","1993","1996"
"Q181263","François Steyn","フランソワ・ステイン","%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%82%B9%E3%83%86%E3%82%A4%E3%83%B3","Senior","2009-2012","ラシン92","/wiki/%E3%83%A9%E3%82%B7%E3%83%B392",NA,NA,"2009","2012"
"Q181263","François Steyn","フランソワ・ステイン","%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%82%B9%E3%83%86%E3%82%A4%E3%83%B3","Senior","2014-2016","東芝","/wiki/%E6%9D%B1%E8%8A%9D%E3%83%96%E3%83%AC%E3%82%A4%E3%83%96%E3%83%AB%E3%83%BC%E3%83%91%E3%82%B9",NA,NA,"2014","2016"
"Q181263","François Steyn","フランソワ・ステイン","%E3%83%95%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AF%E3%83%BB%E3%82%B9%E3%83%86%E3%82%A4%E3%83%B3","Senior","2016-2020","モンペリエ","/wiki/%E3%83%A2%E3%83%B3%E3%83%9A%E3%83%AA%E3%82%A8%E3%83%BB%E3%82%A8%E3%83%AD%E3%83%BC%E3%83%BB%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC",NA,NA,"2016","2020"
