"","wikidataId","fullName","type","inceptionDate","terminationDate","altNames","affiliations","countries","competitions","tier","homeVenueNames","homeVenueCapacities","locations","allRugbyIds","googleKnowlIds","wikipediaEn","wikipediaFr","wikipediaIt","wikipediaEs","wikipediaJa","dbpediaId"
"23","Q276760","Uruguay national rugby union team","national rugby union team","1951-09-09",NA,"Uruguay nasionale rugbyspan; Uruguay se nasionale rugbyspan; Uruguayse nasionale rugbyspan; tîm rygbi Uruguay; tîm rygbi Wrwgwái; Tîm rygbi'r undeb cenedlaethol Uruguay; tîm rygbi'r undeb cenedlaethol Wrwgwái; nazionale di rugby XV dell’Uruguay; ru ury; Uruguayaans rugbyteam (mannen); Seleção Uruguaia de Râguebi; Seleção uruguaia rugby; Selecção Uruguaia de Rugby; Seleccion de rugby de Uruguay; Seleccion nacional de rugby de Uruguay; Uruguay rugby team; los Teros",NA,"Uruguay",NA,NA,"Estadio Charrúa","14000",NA,NA,NA,"Uruguay_national_rugby_union_team","%C3%89quipe_d%27Uruguay_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Uruguay","Selecci%C3%B3n_de_rugby_de_Uruguay","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%82%A6%E3%83%AB%E3%82%B0%E3%82%A2%E3%82%A4%E4%BB%A3%E8%A1%A8","http://dbpedia.org/resource/Uruguay_national_rugby_union_team"
"24","Q281694","Berliner RC","rugby union club","1928-01-01",NA,"Berliner Rugby Club; Berliner Rugby Club e.V. 1926",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Berlin",NA,NA,"Berliner_RC","Berliner_Rugby_Club",NA,NA,NA,"http://dbpedia.org/resource/Berliner_RC"
"28","Q298137","ASV Köln","rugby union club","1929-01-01",NA,NA,NA,"Germany",NA,NA,NA,NA,NA,NA,NA,"ASV_K%C3%B6ln",NA,NA,NA,NA,NA
"29","Q304142","Austria national rugby union team","national rugby union team",NA,NA,"Austria national rugby team; Austria rugby team; Austria rugby union team; Austrian national rugby team; Equipe d'Autriche de rugby a XV; Nazionale di rugby XV dell'Austria",NA,"Austria",NA,NA,NA,NA,NA,NA,NA,"Austria_national_rugby_union_team","%C3%89quipe_d%27Autriche_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_dell%27Austria",NA,NA,NA
"31","Q325466","Heidelberger RK","rugby union team","1872-01-01",NA,"HRK; Heidelberger Ruderklub 1872; Heidelberger Ruderklub 1872 e. V.; Heidelberger Ruderklub 1872 e.V.; Heidelberg RK; Heidelberger RK - Rugby",NA,"Germany","Rugby-Bundesliga",NA,NA,NA,"Heidelberg",NA,NA,"Heidelberger_RK","Heidelberger_Ruderklub_1872_e.V.","Heidelberger_Ruderklub_1872",NA,NA,"http://dbpedia.org/resource/Heidelberger_RK"
"32","Q334657","Chile national rugby union team","national rugby union team","1936-09-18",NA,"Los Condores; Seleccion de rugby de Chile; Seleccion nacional de rugby de Chile; Selección nacional de rugby de Chile; Nazionale di rugby cilena; Nazionale di rugby XV del Cile; ru chl; Seleção Chilena de Râguebi",NA,"Chile",NA,NA,NA,NA,NA,NA,NA,"Chile_national_rugby_union_team","%C3%89quipe_du_Chili_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Cile","Selecci%C3%B3n_de_rugby_de_Chile","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%81%E3%83%AA%E4%BB%A3%E8%A1%A8",NA
"33","Q335062","Belgium national rugby union team","national rugby union team","1930-07-01",NA,"België nasionale rugbyspan; Seleccion de rugby de Belgica; les Diables noirs; Nazionale di rugby XV del Belgio; ru bel; Belgisch rugbyteam (mannen); Reprezentacja Belgii w rugby mężczyzn",NA,"Belgium",NA,NA,NA,NA,NA,NA,NA,"Belgium_national_rugby_union_team","%C3%89quipe_de_Belgique_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_del_Belgio","Selecci%C3%B3n_de_rugby_de_B%C3%A9lgica","%E3%83%A9%E3%82%B0%E3%83%93%E3%83%BC%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC%E4%BB%A3%E8%A1%A8",NA
"34","Q367722","Denmark national rugby union team","national rugby union team","1949-01-01",NA,"DRB",NA,"Denmark",NA,NA,NA,NA,NA,NA,NA,"Denmark_national_rugby_union_team","%C3%89quipe_du_Danemark_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Danimarca","Selecci%C3%B3n_de_rugby_de_Dinamarca",NA,NA
"35","Q373704","Niue national rugby union team","national rugby union team","1983-01-01",NA,"Seleccion de rugby de Niue; nazionale niueana di rugby",NA,"Niue",NA,NA,NA,NA,NA,NA,NA,"Niue_national_rugby_union_team","%C3%89quipe_de_Niue_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_di_Niue","Selecci%C3%B3n_de_rugby_de_Niue",NA,NA
"36","Q374255","Bosnia and Herzegovina national rugby union team","national rugby union team","1992-01-01",NA,"Nazionale di rugby a 15 della Bosnia",NA,"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,"Bosnia_and_Herzegovina_national_rugby_union_team","%C3%89quipe_de_Bosnie-Herz%C3%A9govine_de_rugby_%C3%A0_XV","Nazionale_maschile_di_rugby_a_15_della_Bosnia_ed_Erzegovina","Selecci%C3%B3n_de_rugby_de_Bosnia_y_Herzegovina",NA,NA
