"name","tier","division","country","wikidataId","homonyms"
"Bethlehem Oud Skoliere",8,"Griffons Rugby Union","South Africa","",""
"Bobbies",8,"Griffons Rugby Union","South Africa","",""
"Bothaville",8,"Griffons Rugby Union","South Africa","",""
"Bultfontein",8,"Griffons Rugby Union","South Africa","",""
"Ficksburg",8,"Griffons Rugby Union","South Africa","",""
"Frankfort",8,"Griffons Rugby Union","South Africa","",""
"Harmony",8,"Griffons Rugby Union","South Africa","",""
"Harmony Tigers",8,"Griffons Rugby Union","South Africa","",""
"Harrismith",8,"Griffons Rugby Union","South Africa","",""
"Henneman",8,"Griffons Rugby Union","South Africa","",""
"Hoopstad",8,"Griffons Rugby Union","South Africa","",""
"Kestell",8,"Griffons Rugby Union","South Africa","",""
"Klutwanong",8,"Griffons Rugby Union","South Africa","",""
"Koppies",8,"Griffons Rugby Union","South Africa","",""
"Kroonstad",8,"Griffons Rugby Union","South Africa","",""
"Ladybrand",8,"Griffons Rugby Union","South Africa","",""
"Lindley",8,"Griffons Rugby Union","South Africa","",""
"Parys",8,"Griffons Rugby Union","South Africa","",""
"Aggeneys RFC",8,"Griqualand West Rugby Union","South Africa","",""
"Desert Daisies Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Douglas RFC",8,"Griqualand West Rugby Union","South Africa","",""
"Elevations",8,"Griqualand West Rugby Union","South Africa","",""
"Gladiators RFC",8,"Griqualand West Rugby Union","South Africa","",""
"Hartswater Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Hope Town",8,"Griqualand West Rugby Union","South Africa","",""
"Hurricanes",8,"Griqualand West Rugby Union","South Africa","","Q639797; Q7895746"
"Jacobsdal",8,"Griqualand West Rugby Union","South Africa","",""
"Kakamas Rugby Klub",8,"Griqualand West Rugby Union","South Africa","",""
"Kenhard",8,"Griqualand West Rugby Union","South Africa","",""
"Kenhardt Rugby Klub",8,"Griqualand West Rugby Union","South Africa","",""
"Kimberley Polisie Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Klipfontein United Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Kuruman Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Marrigolds",8,"Griqualand West Rugby Union","South Africa","",""
"Nababeep Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Ocean Collegians Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Okiep Thistles R.F.C",8,"Griqualand West Rugby Union","South Africa","",""
"Orania Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Oranjemund RFC",8,"Griqualand West Rugby Union","South Africa","",""
"Phantoms Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Pofadder Rugby Klub",8,"Griqualand West Rugby Union","South Africa","",""
"Postmasburg",8,"Griqualand West Rugby Union","South Africa","",""
"Prieska Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Protea United",8,"Griqualand West Rugby Union","South Africa","",""
"Protea United Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Rangers RFC",8,"Griqualand West Rugby Union","South Africa","",""
"Riverton's",8,"Griqualand West Rugby Union","South Africa","",""
"Rosh-Pinah Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Sishen Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Springbok Rugby Klub",8,"Griqualand West Rugby Union","South Africa","",""
"Steinkopf United RFC",8,"Griqualand West Rugby Union","South Africa","",""
"Sutherland Rugby Club",8,"Griqualand West Rugby Union","South Africa","",""
"Tigers RFC",8,"Griqualand West Rugby Union","South Africa","","Q1706623; Q16980460"
"United Rugby Football Club",8,"Griqualand West Rugby Union","South Africa","",""
