"nation","name","url"
"Argentina","Matías Corral","https://en.wikipedia.org/wiki/Mat%C3%ADas_Corral"
"Argentina","Sebastian Paz Posse",NA
"Argentina","Cristián Viel","https://en.wikipedia.org/wiki/Cristi%C3%A1n_Viel"
"Argentina","Martín Viola",NA
"Argentina","Eduardo García Hamilton",NA
"Argentina","Ivan Merlo",NA
"Argentina","Sergio Peretti",NA
"Argentina","Pablo Fernández Bravo",NA
"Argentina","Nicolás Fernández Miranda","https://en.wikipedia.org/wiki/Nicol%C3%A1s_Fern%C3%A1ndez_Miranda"
"Argentina","Rolando Martín","https://en.wikipedia.org/wiki/Rolando_Mart%C3%ADn"
"Argentina","Martín Pfister",NA
"Argentina","Francisco García","https://en.wikipedia.org/wiki/Francisco_Garc%C3%ADa_(rugby_union)"
"Argentina","José Cilley","https://en.wikipedia.org/wiki/Jos%C3%A9_Cilley"
"Argentina","Diego Albanese","https://en.wikipedia.org/wiki/Diego_Albanese"
"Argentina","Nicolás Bossicovich","https://en.wikipedia.org/wiki/Nicol%C3%A1s_Bossicovich"
"Argentina","Omar Hasan Jalil","https://en.wikipedia.org/wiki/Omar_Hasan"
"Argentina","Martín Lerga",NA
"Argentina","Fernando del Castillo","https://en.wikipedia.org/wiki/Fernando_del_Castillo"
"Argentina","Agustín Pichot","https://en.wikipedia.org/wiki/Agust%C3%ADn_Pichot"
"Argentina","Ezequiel Jurado","https://en.wikipedia.org/wiki/Ezequiel_Jurado"
"Argentina","José Luna",NA
"Argentina","Omar Portillo",NA
"Argentina","Martín Sugasti","https://en.wikipedia.org/wiki/Mart%C3%ADn_Sugasti"
"Argentina","Roberto Petti",NA
"Argentina","Pablo Bouza","https://en.wikipedia.org/wiki/Pablo_Bouza"
"Argentina","Carlos Promanzio",NA
"Argentina","Mauricio Reggiardo","https://en.wikipedia.org/wiki/Mauricio_Reggiardo"
"Argentina","Gustavo Rivero",NA
"Argentina","Facundo Soler",NA
"Argentina","Julian Legora",NA
"Argentina","Octavio Bartolucci","https://en.wikipedia.org/wiki/Octavio_Bartolucci"
"Argentina","Ignacio Fernández Lobbe","https://en.wikipedia.org/wiki/Ignacio_Fern%C3%A1ndez_Lobbe"
"Argentina","Leandro Lobrauco",NA
"Argentina","Martín Palou",NA
"Argentina","Gonzalo Quesada","https://en.wikipedia.org/wiki/Gonzalo_Quesada"
"Argentina","Martín Scelzo","https://en.wikipedia.org/wiki/Mart%C3%ADn_Scelzo"
