"playerId"  , "playerName"                    , "teamWdId"  , "teamRsId", "teamName"                                       , "startYear", "endYear", "matchesPlayed", "pointsScored", "dataSource"
"Q1053176"  , "Naas Botha"                    , "Q885646"   , "156"     , "Bulls"                                          , "1992"     , "1995"   , NA             , NA            , "esWP"
"Q1403116"  , "Arthur Gould"                  , "Q1521264"  , "275"     , "Newport RFC"                                    , "1882"     , "1898"   , NA             , NA            , "esWP; itWP; WD; frWP; enWP"
"Q1403116"  , "Arthur Gould"                  , "Q1048688"  , "201"     , "London Welsh RFC"                               , "1885"     , "1886"   , NA             , NA            , "WD; frWP; itWP; esWP; enWP"
"Q1403116"  , "Arthur Gould"                  , "Q822877"   , "143"     , "Wales national rugby union team"                , "1885"     , "1897"   , "27"           , "13"          , "WD; frWP; itWP; enWP"
"Q1403116"  , "Arthur Gould"                  , "Q3431476"  , "607"     , "Richmond Rugby Club"                            , "1886"     , "1887"   , NA             , NA            , "WD; frWP; esWP; enWP"
"Q1403116"  , "Arthur Gould"                  , NA          , "7530"    , "Middlesex Rugby Football Union Team"            , "1887"     , "1893"   , NA             , NA            , "enWP"
"Q1403116"  , "Arthur Gould"                  , "Q1521264"  , "275"     , "Newport RFC"                                    , "1887"     , "1898"   , "232"          , "662"         , "esWP; itWP; WD; frWP; enWP"
"Q1403116"  , "Arthur Gould"                  , NA          , "7548"    , "Hampshire Rugby Football Union Team"            , NA         , NA       , NA             , NA            , "enWP"
"Q1403116"  , "Arthur Gould"                  , "Q7845132"  , "1901"    , "Trojans Rugby Club"                             , NA         , NA       , NA             , NA            , "enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , NA          , "4556"    , "RC Concarneau"                                  , "1998"     , "2007"   , NA             , NA            , "frWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q431412"   , "44"      , "Stade Toulousain"                               , "2007"     , "2008"   , NA             , NA            , "frWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q634843"   , "89"      , "Tarbes Pyrénées Rugby"                          , "2008"     , "2009"   , NA             , NA            , "frWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q855496"   , "152"     , "Biarritz Olympique"                             , "2009"     , "2010"   , NA             , NA            , "frWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q855496"   , "152"     , "Biarritz Olympique"                             , "2010"     , "2013"   , "55"           , "124"         , "WD; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q5478456"  , "1249"    , "France national under-20 rugby union team"      , "2011"     , "2011"   , "10"           , "54"          , "jaWP; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q431412"   , "44"      , "Stade Toulousain"                               , "2013"     , "2014"   , "9"            , "32"          , "WD; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q756594"   , "126"     , "Stade Rochelais"                                , "2014"     , "2016"   , "38"           , "106"         , "WD; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q1865460"  , "316"     , "Union Bordeaux Bègles"                          , "2017"     , "2018"   , "7"            , "15"          , "jaWP; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q518116"   , "58"      , "France national rugby union team"               , "2020"     , "2020"   , "1"            , "0"           , "jaWP; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q297901"   , "27"      , "ASM Clermont Auvergne"                          , "2020"     , "2023"   , "42"           , "61"          , "jaWP; frWP; enWP"
"Q1766531"  , "Jean-Pascal Barraque"          , "Q1471265"  , "266"     , "USA Perpignan"                                  , "2023"     , NA       , "11"           , "32"          , "jaWP; frWP"
"Q1812787"  , "François Borde"                , "Q634843"   , "89"      , "Tarbes Pyrénées Rugby"                          , "1916"     , "1920"   , NA             , NA            , "frWP"
"Q1812787"  , "François Borde"                , "Q118498"   , "10"      , "Racing 92"                                      , "1920"     , "1921"   , NA             , NA            , "frWP"
"Q1812787"  , "François Borde"                , "Q518116"   , "58"      , "France national rugby union team"               , "1920"     , "1926"   , NA             , "3"           , "WD"
"Q1812787"  , "François Borde"                , "Q431412"   , "44"      , "Stade Toulousain"                               , "1921"     , "1928"   , NA             , NA            , "WD; frWP"
"Q1812787"  , "François Borde"                , "Q1115439"  , "208"     , "RC Narbonne"                                    , "1928"     , "1928"   , NA             , NA            , "frWP"
"Q1812787"  , "François Borde"                , "Q431412"   , "44"      , "Stade Toulousain"                               , "1928"     , "1930"   , NA             , NA            , "frWP"
"Q1812787"  , "François Borde"                , "Q431412"   , "44"      , "Stade Toulousain"                               , "1934"     , "1938"   , NA             , NA            , "frWP"
"Q2053152"  , "Jerome Kaino"                  , "Q7016267"  , "1565"    , "New Zealand national under-21 rugby union team" , "2003"     , "2004"   , "9"            , "25"          , "enWP"
"Q2053152"  , "Jerome Kaino"                  , "Q1156303"  , "232"     , "Blues"                                          , "2004"     , "2018"   , "137"          , "70"          , "WD; frWP; itWP; esWP; enWP"
"Q2053152"  , "Jerome Kaino"                  , "Q4819588"  , "928"     , "Auckland RFU Team"                              , "2004"     , "2017"   , "56"           , "50"          , "itWP; frWP; esWP; enWP"
"Q2053152"  , "Jerome Kaino"                  , "Q55801"    , "6"       , "New Zealand national rugby union team"          , "2004"     , "2017"   , "83"           , "65"          , "WD; enWP; frWP; itWP"
"Q2053152"  , "Jerome Kaino"                  , "Q749756"   , "124"     , "New Zealand A national rugby union team"        , "2005"     , "2007"   , "7"            , "0"           , "enWP"
"Q2053152"  , "Jerome Kaino"                  , "Q807749"   , "136"     , "Barbarian FC"                                   , "2011"     , "2011"   , "1"            , "0"           , "enWP"
"Q2053152"  , "Jerome Kaino"                  , "Q6374828"  , "1398"    , "Toyota Verblitz"                                , "2012"     , "2014"   , "18"           , "10"          , "itWP; WD; frWP; esWP; enWP"
"Q2053152"  , "Jerome Kaino"                  , "Q1156303"  , "232"     , "Blues"                                          , "2014"     , "2017"   , "54"           , "50"          , "WD; frWP; itWP"
"Q2053152"  , "Jerome Kaino"                  , "Q4819588"  , "928"     , "Auckland RFU Team"                              , "2017"     , "2017"   , "3"            , "5"           , "itWP; frWP"
"Q2053152"  , "Jerome Kaino"                  , "Q431412"   , "44"      , "Stade Toulousain"                               , "2018"     , "2021"   , "62"           , "10"          , "frWP; itWP; esWP; enWP"
"Q2053152"  , "Jerome Kaino"                  , NA          , "6862"    , "University of Auckland"                         , NA         , NA       , NA             , NA            , "enWP"
"Q2203638"  , "James O'Connor"                , "Q2926274"  , "442"     , "Brothers Old Boys"                              , NA         , "2007"   , NA             , NA            , "enWP"
"Q2203638"  , "James O'Connor"                , "Q915507"   , "161"     , "Western Force"                                  , "2007"     , "2012"   , "39"           , "306"         , "itWP; enWP; WD; frWP; jaWP; esWP"
