"origWdId","origName","esName","wpPage","startYear","endYear","teamName","teamWP","matchesPlayed","pointsScored"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","2012","2017","Chiefs","Chiefs_(rugby)",NA,NA
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","2017","2019","Montpellier","Montpellier_H%C3%A9rault_Rugby",NA,NA
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","2020",NA,"Chiefs","Chiefs_(rugby)",NA,NA
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","2004",NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","51","35"
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","2000","2002","Rugby Southland",NA,NA,NA
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","2003","2012","Highlanders","Highlanders_(rugby)",NA,NA
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","2012","2014","Gloucester Rugby","Gloucester_Rugby",NA,NA
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","2015",NA,"Blues",NA,NA,NA
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski",NA,NA,"Francia","Selecci%C3%B3n_de_rugby_de_Francia","81","35"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","2002","2005","Béziers","AS_B%C3%A9ziers_H%C3%A9rault",NA,NA
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","2005","2012","Stade Français","Stade_Fran%C3%A7ais",NA,NA
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","2012","2019","Racing Metro 92","Racing_92",NA,NA
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke",NA,NA,"Nueva Zelanda","Selecci%C3%B3n_de_rugby_de_Nueva_Zelanda","58",NA
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","1984","1997","Auckland RFU",NA,NA,NA
