name,number,opponent,date_of_debut,caps,url
AJ Hamilton,116,Wales,12/03/1884,1,https://en.wikipedia.org//w/index.php?title=AJ_Hamilton&action=edit&redlink=1
Frederick Moore,117,Wales,12/03/1884,4,https://en.wikipedia.org//w/index.php?title=Frederick_Moore_(rugby_union)&action=edit&redlink=1
William Collis,118,Wales,12/03/1884,1,https://en.wikipedia.org//w/index.php?title=William_Collis&action=edit&redlink=1
Lambert Moyers,119,Wales,12/03/1884,1,https://en.wikipedia.org//w/index.php?title=Lambert_Moyers&action=edit&redlink=1
Walter Johnstone,120,Wales,12/03/1884,1,https://en.wikipedia.org//w/index.php?title=Walter_Johnstone&action=edit&redlink=1
John Fitzgerald,121,Wales,12/03/1884,1,https://en.wikipedia.org//w/index.php?title=John_Fitzgerald_(19th_century_rugby_union_player)&action=edit&redlink=1
Herbert Cook,122,Wales,12/03/1884,1,https://en.wikipedia.org//w/index.php?title=Herbert_Cook_(rugby_union)&action=edit&redlink=1
Harry McDaniel,123[2],Wales,12/04/1884,1,https://en.wikipedia.org//wiki/Harry_McDaniel
Charles Jordan,124[2],Wales,12/04/1884,1,https://en.wikipedia.org//wiki/Charles_Jordan_(rugby_union)
JP Ross,125,England,07/02/1885,5,https://en.wikipedia.org//w/index.php?title=JP_Ross&action=edit&redlink=1
Ernest Crawford I,126,England,07/02/1885,2,https://en.wikipedia.org//w/index.php?title=Ernest_Crawford_I&action=edit&redlink=1
Henry Neill,127,England,07/02/1885,9,https://en.wikipedia.org//w/index.php?title=Henry_Neill&action=edit&redlink=1
Thomas Shanahan,128,England,07/02/1885,6,https://en.wikipedia.org//w/index.php?title=Thomas_Shanahan_(rugby_union)&action=edit&redlink=1
Thomas Ranken Lyle,129,England,07/02/1885,6,https://en.wikipedia.org//wiki/Thomas_Ranken_Lyle
TC Allen,130,England,07/02/1885,2,https://en.wikipedia.org//w/index.php?title=TC_Allen&action=edit&redlink=1
Robert Bradshaw,131,England,07/02/1885,3,https://en.wikipedia.org//w/index.php?title=Robert_Bradshaw_(rugby_union)&action=edit&redlink=1
DV Hunter,132,Wales,07/03/1885,1,https://en.wikipedia.org//w/index.php?title=DV_Hunter&action=edit&redlink=1
J Thompson,133,Scotland,21/02/1885,2,https://en.wikipedia.org//w/index.php?title=J_Thompson&action=edit&redlink=1
William Hogg,134,Wales,07/03/1885,1,https://en.wikipedia.org//w/index.php?title=William_Hogg_(rugby_union)&action=edit&redlink=1
Joseph Chambers,135,England,06/02/1886,5,https://en.wikipedia.org//w/index.php?title=Joseph_Chambers_(rugby_union)&action=edit&redlink=1
Victor Le Fanu,136,England,06/02/1886,11,https://en.wikipedia.org//wiki/Victor_Le_Fanu
Ralph Henry Massy-Westropp,137,England,06/02/1886,1,https://en.wikipedia.org//wiki/R._H._Massy-Westropp
Maxwell Carpendale,138,Scotland,20/02/1886,4,https://en.wikipedia.org//wiki/Maxwell_Carpendale
JF Ross,139,Scotland,20/02/1886,1,https://en.wikipedia.org//w/index.php?title=JF_Ross&action=edit&redlink=1
Robert Herrick,140,Scotland,20/02/1886,1,https://en.wikipedia.org//w/index.php?title=Robert_Herrick_(rugby_union)&action=edit&redlink=1
J McMordie,141,Scotland,20/02/1886,1,https://en.wikipedia.org//w/index.php?title=J_McMordie&action=edit&redlink=1
Francis Miller,142,Scotland,20/02/1886,1,https://en.wikipedia.org//w/index.php?title=Francis_Miller_(rugby_union)&action=edit&redlink=1
John Waites,143,Scotland,20/02/1886,7,https://en.wikipedia.org//w/index.php?title=John_Waites&action=edit&redlink=1
Frank Stoker,144,Scotland,20/02/1886,5,https://en.wikipedia.org//wiki/Frank_Stoker
Dolway Walkington,145,England,05/02/1887,8,https://en.wikipedia.org//wiki/Dolway_Walkington
Charles Tillie,146,England,05/02/1887,4,https://en.wikipedia.org//w/index.php?title=Charles_Tillie&action=edit&redlink=1
Daniel Rambaut,147,England,05/02/1887,4,https://en.wikipedia.org//wiki/Daniel_Rambaut
Robert Montgomery,148,England,05/02/1887,5,https://en.wikipedia.org//w/index.php?title=Robert_Montgomery_(rugby_union)&action=edit&redlink=1
James McLaughlin,149,England,05/02/1887,4,https://en.wikipedia.org//w/index.php?title=James_McLaughlin_(rugby_union)&action=edit&redlink=1
John Dick,150,England,05/02/1887,3,"https://en.wikipedia.org//w/index.php?title=John_Dick_(rugby_union,_born_1865)&action=edit&redlink=1"
