"origWdId","origName","itName","wpPage","stintType","timePeriod","teamName","teamWP","matchesPlayed","pointsScored","startYear","endYear"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","Regional","2008-17","Manawatu","Manawatu_Rugby_Union","32","272","2008","2017"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","Senior","2017-19","Montpellier","Montpellier_H%C3%A9rault_Rugby","41","140","2017","2019"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","Senior","2021-","Kōbe Steelers",NA,"0","0","2021",NA
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","Senior","2010-11","Hurricanes","Hurricanes_(rugby_a_15)","25","148","2010","2011"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","Senior","2012-17","Chiefs","Chiefs_(rugby_a_15)","89","679","2012","2017"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","Senior","2020-2020","Chiefs","Chiefs_(rugby_a_15)","11","39","2020","2020"
"Q193926","Aaron Cruden","Aaron Cruden","Aaron_Cruden","International","2010-17","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","50","322","2010","2017"
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","Regional","2000-12","Southland","Southland_Rugby_Football_Union","101","45","2000","2012"
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","Senior","2003-12","Highlanders","Highlanders","108","50","2003","2012"
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","Senior","2012-","Gloucester","Gloucester_Rugby","4","0","2012",NA
"Q194026","Jimmy Cowan","Jimmy Cowan","Jimmy_Cowan","International","2004-11","Nuova Zelanda","Nazionale_maschile_di_rugby_a_15_della_Nuova_Zelanda","51","35","2004","2011"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","Senior","2003-05","Béziers","Association_sportive_de_B%C3%A9ziers_H%C3%A9rault","52","45","2003","2005"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","Senior","2005-12","Stade français","Stade_fran%C3%A7ais_Paris_rugby","98","90","2005","2012"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","Senior","2012-19","Racing Métro 92","Racing_92","117","60","2012","2019"
"Q200427","Dimitri Szarzewski","Dimitri Szarzewski","Dimitri_Szarzewski","International","2004-15","Francia","Nazionale_maschile_di_rugby_a_15_della_Francia","83","35","2004","2015"
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","Regional","1986-1997","Auckland","Auckland_Rugby_Football_Union",NA,NA,"1986","1997"
"Q205288","Zinzan Brooke","Zinzan Brooke","Zinzan_Brooke","Senior","1986-1992","S.S. Lazio","Polisportiva_S.S._Lazio_Rugby_1927",NA,NA,"1986","1992"
