"wikidataId","fullName","itName","height","weight","positions","positionsWP","birthCountry","sportCountry","currentTeamWP"
"Q18359107","Javier Ortega Desio","Javier Ortega Desio",193,108,"Flanker",NA,"Argentina",NA,NA
"Q18368242","Simone Ragusi","Simone Ragusi",176,90,"Utility Back",NA,"Italy",NA,"/wiki/Rugby_Calvisano"
"Q18391686","Nehe Milner-Skudder","Nehe Milner-Skudder",180,90,"Utility Back",NA,"New Zealand",NA,"/wiki/Rugby_New_York"
"Q18418565","Jonathon Edwards","Jonathon Edwards",182,85,"Winger",NA,"Australia","Switzerland","/wiki/L%27Aquila_Rugby_Club"
"Q18419030","Luigi Luise","Luigi Luise",NA,NA,"Centre",NA,"Italy","Italy",NA
"Q18420360","Roberto Luise","Roberto Luise",NA,NA,"Centre",NA,"Italy",NA,NA
"Q18589216","Zander Fagerson","Zander Fagerson",188,115,"Prop",NA,"Great Britain","Scotland",NA
"Q18619312","Facundo Isa","Facundo Isa",188,106,"Flanker",NA,"Argentina",NA,"/wiki/Rugby_Club_Toulonnais"
"Q18632100","Blake Gibson","Blake Gibson",186,102,"Flanker",NA,"New Zealand",NA,"/wiki/Auckland_Rugby_Football_Union"
"Q18632188","Richie Mo'unga","Richie Mo'unga",176,86,"Fly-Half",NA,"New Zealand",NA,NA
"Q18637132","Enrico Bacchin","Enrico Bacchin",182,97,"Centre",NA,"Italy",NA,NA
"Q18637426","Juan Cruz Guillemaín","Juan Cruz Guillemaín",197,115,"2nd Row",NA,"Argentina",NA,NA
"Q18637622","Marco Lazzaroni","Marco Lazzaroni",191,110,"2nd Row",NA,"Italy",NA,NA
"Q18637759","Matías Moroni","Matías Moroni",185,90,"Utility Back",NA,"Argentina",NA,"/wiki/Leicester_Tigers"
"Q18637778","Sefanaia Naivalu","Sefanaia Naivalu",186,101,"Winger",NA,"Fiji","Australia","/wiki/Stade_fran%C3%A7ais_Paris_rugby"
