"rugbyscopeId","altNames","teamWP","fusionName"
894,"aberdeen university; Aberdeen University","Aberdeen_University_RFC","Aberdeen University RFC"
895,"aberdeen wanderers",NA,"Aberdeen Wanderers RFC"
895,"Aberdeen Wanderers RFC","Aberdeen_Wanderers_RFC","Aberdeen Wanderers RFC"
896,"abergavenny rfc; Abergavenny RFC","Abergavenny_RFC","Abergavenny Rugby Football Club"
897,"abertillery rfc; abertillery; Abertillery RFC; Abertillery","Abertillery_RFC","Abertillery RFC"
898,"aberystwyth; Aberystwyth RFC","Aberystwyth_RFC","Aberystwyth RFC"
901,"Ajax Wanderers",NA,"Ajax Wanderers R.U.F.C."
903,"kersal; altrincham kersal","Altrincham_Kersal_RFC","Altrincham Kersal"
903,"Altrincham Kersal",NA,"Altrincham Kersal"
905,"chiltern rfc; Amersham & Chiltern RFC","Amersham_and_Chiltern_Rugby","Amersham and Chiltern Rugby Football Club"
906,"Amman United; Amman United RFC","Amman_United_RFC","Amman United RFC"
907,"ammanford rfc; Ammanford RFC","Ammanford_RFC","Ammanford RFC"
909,"ampthill; ampthill rufc; apmthill; Ampthill","Ampthill_RUFC","Ampthill Rugby Club"
909,"ampthill rfc",NA,"Ampthill Rugby Club"
910,"annan","Annan_RFC","Annan RFC"
911,"anti-assassins","Anti-Assassins","Anti-Assassins"
915,"ardrossan academicals; Ardrossan Academicals","Ardrossan_Academicals_RFC","Ardrossan Academicals RFC"
916,"ards; ards rfc","Ards_RFC","Ards RFC"
918,"British Army; british army; army rugby union; British Army XV; Army Rugby Union","Army_Rugby_Union","Army Rugby Union"
918,"army",NA,"Army Rugby Union"
918,"Army",NA,"Army Rugby Union"
919,"army rfc","Army_Rugby_Football_Club","Army Rugby Football Club"
921,"deportiva francesa; dep. francesa","Asociaci%C3%B3n_Deportiva_Francesa","Asociación Deportiva Francesa"
922,"Aspatria RUFC","Aspatria_RUFC","Aspatria RUFC"
928,"auckland; auckland rugby union; auckland b; Auckland","Auckland_(National_Provincial_Championship)","Auckland RFU Team"
928,"Auckland",NA,"Auckland RFU Team"
931,"australia a; australia 'a'; australia xv","Australia_A_national_rugby_union_team","Australia A national rugby union team"
932,"australia u-21; australia u21; australia under 21s","Australia_national_under-21_rugby_union_team","Australia national under-21 rugby union team"
933,"australia u20; australia under-20; australia u-20; australia under 20; junior wallabies; australia  u20; australia u20s","Australia_national_under-20_rugby_union_team","Australia national under-20 rugby union team"
934,"australian a schoolboys; australia schoolboys; australia schools; australian schoolboys; australian schools; schoolboys; australia 'a' schools; australia a schools; aus schools; australia 'a' schoolboys","Australian_Schoolboys_rugby_union_team","Australian Schoolboys national rugby union team"
934,"australian schoolboys",NA,"Australian Schoolboys national rugby union team"
936,"avonmouth old boys","Avonmouth_Old_Boys_RFC","Avonmouth Old Boys"
938,"byu; Brigham Young University","BYU_Cougars_men%27s_rugby","BYU men's rugby"
941,"Balbriggan RFC","Balbriggan_RFC","Balbriggan RFC"
942,"Ballincollig","Ballincollig_RFC","Ballincollig RFC"
943,"banbridge; banbridge rfc; Banbridge","Banbridge_RFC","Banbridge RFC"
946,"bannockburn rfc","Bannockburn_RFC","Bannockburn RFC"
948,"bargoed; bargoed rfc; Bargoed RFC","Bargoed_RFC","Bargoed RFC"
949,"barking; barking rfc","Barking_RFC","Barking Rugby Football Club"
950,"barnes rfc","Barnes_RFC","Barnes Rugby Football Club"
951,"barnstaple rfc","Barnstaple_RFC","Barnstaple RFC"
951,"Barnstaple RFC",NA,"Barnstaple RFC"
952,"barry rfc; Barry RFC","Barry_RFC","Barry RFC"
953,"st. batholomew's hospital; london hospital; st. barts; the london hospital; St Barts; Royal London Hospital","Barts_and_The_London_RFC","Barts and The London RFC"
953,"st. bart's hospital",NA,"Barts and The London RFC"
954,"Basingstoke RFC","Basingstoke_R.F.C.","Basingstoke R.F.C."
957,"bay of plenty; bop; bay of plenty combined clubs","Bay_of_Plenty_(National_Provincial_Championship)","Bay of Plenty Steamers"
957,"bay of plenty","Bay_of_Plenty_Rugby_Union","Bay of Plenty Steamers"
957,"Bay of Plenty Academy",NA,"Bay of Plenty Steamers"
958,"Beaconsfield","Beaconsfield_RFC","Beaconsfield Rugby Club"
959,"beckenham rfc; Beckenham RFC","Beckenham_RFC","Beckenham Rugby Football Club"
960,"beddau; beddau rfc; Beddau","Beddau_RFC","Beddau RFC"
961,"bedford athletic","Bedford_Athletic","Bedford Athletic"
961,"Bedford Athletic RFC",NA,"Bedford Athletic"
963,"beecroft rugby club; Beecroft","Beecroft_Rugby_Club","Beecroft Rugby Club"
963,"Beecroft Rugby Club",NA,"Beecroft Rugby Club"
965,"belmont shore rfc; Belmont Shore RFC; Belmont Shore","Belmont_Shore_RFC","Belmont Shore RFC"
965,"belmont shore",NA,"Belmont Shore RFC"
969,"berwick","Berwick_RFC","Berwick RFC"
969,"Berwick RFC",NA,"Berwick RFC"
974,"bicester rufc","Bicester_RUFC","Bicester Rugby Club"
974,"Bicester Rugby Club",NA,"Bicester Rugby Club"
975,"biggleswade",NA,"Biggleswade Rugby Club"
975,"Biggleswade Rugby Club","Biggleswade_RUFC","Biggleswade Rugby Club"
978,"birkenhead park; Birkenhead Park; Birkenhead Park FC","Birkenhead_Park_FC","Birkenhead Park FC"
978,"birkenhead park fc",NA,"Birkenhead Park FC"
