,wiki_name,wpPage,stintType,timePeriod,teamName,matchesPlayed,pointsScored
129,Iorrie Isaacs,https://en.wikipedia.org/wiki/Iorrie_Isaacs,amateur,-,cardiff rfc,0,0
130,Iorrie Isaacs,https://en.wikipedia.org/wiki/Iorrie_Isaacs,amateur,-,glamorgan police rfc,0,0
131,Iorrie Isaacs,https://en.wikipedia.org/wiki/Iorrie_Isaacs,amateur,-,pontypridd rfc,0,0
132,Iorrie Isaacs,https://en.wikipedia.org/wiki/Iorrie_Isaacs,amateur,-,penarth rfc,0,0
133,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",amateur,2006,merthyr,0,0
134,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",senior_club,2006-2009,cardiff rfc,0,70
135,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",senior_club,2006-2013,cardiff blues,0,195
136,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",senior_club,2013-2015,exeter chiefs,0,40
137,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",senior_club,2015-2019,cardiff blues,0,105
138,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",senior_club,2019-2020,scarlets,0,0
139,Tom James,"https://en.wikipedia.org/wiki/Tom_James_(rugby_union,_born_1987)",international,2007-2016,wales,0,10
140,David McCann,https://en.wikipedia.org/wiki/David_McCann_(rugby_union),amateur,2021-2023,banbridge,0,20
141,David McCann,https://en.wikipedia.org/wiki/David_McCann_(rugby_union),senior_club,2020-,ulster,0,65
142,David McCann,https://en.wikipedia.org/wiki/David_McCann_(rugby_union),international,2019-2020,ireland u20,0,10
143,David McCann,https://en.wikipedia.org/wiki/David_McCann_(rugby_union),international,2022,emerging ireland,0,5
144,Will Holder,https://en.wikipedia.org/wiki/Will_Holder_(rugby_union),amateur,2015,army,0,0
145,Will Holder,https://en.wikipedia.org/wiki/Will_Holder_(rugby_union),senior_club,2018,seattle seawolves,0,21
146,Will Holder,https://en.wikipedia.org/wiki/Will_Holder_(rugby_union),senior_club,2019,san diego legion,0,2
147,Will Holder,https://en.wikipedia.org/wiki/Will_Holder_(rugby_union),international,2012-2016,united states,0,27
148,Arthur Gould,https://en.wikipedia.org/wiki/Arthur_Gould_(rugby_union),amateur,1882-98,newport rfc,0,0
149,Arthur Gould,https://en.wikipedia.org/wiki/Arthur_Gould_(rugby_union),amateur,1885-,london welsh,0,0
150,Arthur Gould,https://en.wikipedia.org/wiki/Arthur_Gould_(rugby_union),amateur,1886-87,richmond f.c.,0,0
151,Arthur Gould,https://en.wikipedia.org/wiki/Arthur_Gould_(rugby_union),amateur,1887-93,middlesex,0,0
152,Zac Mizell,https://en.wikipedia.org/wiki/Zac_Mizell,amateur,-,dallas harlequins,0,0
153,Zac Mizell,https://en.wikipedia.org/wiki/Zac_Mizell,senior_club,2018,austin elite,0,0
154,Zac Mizell,https://en.wikipedia.org/wiki/Zac_Mizell,senior_club,2016,ohio aviators,0,0
155,Zac Mizell,https://en.wikipedia.org/wiki/Zac_Mizell,international,2012,usa selects,0,0
156,Duncan Robertson,"https://en.wikipedia.org/wiki/Duncan_Robertson_(rugby_union,_born_1851)",amateur,-,edinburgh academicals,0,0
157,Duncan Robertson,"https://en.wikipedia.org/wiki/Duncan_Robertson_(rugby_union,_born_1851)",senior_club,1873-74,edinburgh district,0,0
158,Duncan Robertson,"https://en.wikipedia.org/wiki/Duncan_Robertson_(rugby_union,_born_1851)",international,1875,scotland,0,0
159,Aisake Nadolo,https://en.wikipedia.org/wiki/Aisake_Nadolo,amateur,-,marist brothers high school,0,0
160,Aisake Nadolo,https://en.wikipedia.org/wiki/Aisake_Nadolo,amateur,-,queen victoria school,0,0
161,Aisake Nadolo,https://en.wikipedia.org/wiki/Aisake_Nadolo,senior_club,1987-1995,suva,0,0
162,Aisake Nadolo,https://en.wikipedia.org/wiki/Aisake_Nadolo,international,1987-1995,fiji,0,5
163,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,amateur,2009-2011,hamiltons,0,0
164,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,"2002-2004,2007-2008",boland cavaliers,0,95
165,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2005-2006,griquas,0,65
166,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2009,western province,0,5
167,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2012-2015,swd eagles,0,275
168,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2016-2017,griquas,0,50
169,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2017-2018,southern kings,0,10
170,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2017,eastern province kings,0,10
171,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2018,swd eagles,0,15
172,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,senior_club,2022-,boland cavaliers,0,15
173,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,international,2003,south africa sevens,0,0
174,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,international,2003,south africa under-21,0,45
175,Alshaun Bock,https://en.wikipedia.org/wiki/Alshaun_Bock,international,2013,south africa president's xv,0,10
176,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,amateur,2016-2017,buccaneers rfc,0,0
177,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,amateur,2017,cambridge,0,0
178,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,senior_club,2018-2019,houston sabercats,0,10
179,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,senior_club,2020,san diego legion,0,0
180,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,senior_club,2021,old glory dc,0,0
181,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,senior_club,2021-2022,london irish,0,0
182,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,senior_club,2014-2017,connacht,0,0
183,Jamie Dever,https://en.wikipedia.org/wiki/Jamie_Dever,international,2012,ireland u20,0,0
184,Shūji Nakashima,https://en.wikipedia.org/wiki/Shuji_Nakashima,amateur,1980-1983,otsu high school,0,0
185,Shūji Nakashima,https://en.wikipedia.org/wiki/Shuji_Nakashima,amateur,1983-1987,meiji university rfc,0,0
186,Shūji Nakashima,https://en.wikipedia.org/wiki/Shuji_Nakashima,senior_club,1985-1998,nec,0,0
187,Shūji Nakashima,https://en.wikipedia.org/wiki/Shuji_Nakashima,international,1989-1991,japan,0,0
188,Jeff Taljard,https://en.wikipedia.org/wiki/Jeff_Taljard,amateur,2011,nmmu madibaz,0,5
189,Jeff Taljard,https://en.wikipedia.org/wiki/Jeff_Taljard,senior_club,2008,east cape xv,0,0
190,Jeff Taljard,https://en.wikipedia.org/wiki/Jeff_Taljard,senior_club,2008-2010,border bulldogs,0,160
191,Jeff Taljard,https://en.wikipedia.org/wiki/Jeff_Taljard,senior_club,2011-2013,swd eagles,0,121
192,Jeff Taljard,https://en.wikipedia.org/wiki/Jeff_Taljard,senior_club,2014,border bulldogs,0,36
193,Jeff Taljard,https://en.wikipedia.org/wiki/Jeff_Taljard,senior_club,2014-present,csm olimpia bucurești,0,20
194,Devin Toner,https://en.wikipedia.org/wiki/Devin_Toner,amateur,-,lansdowne,0,0
195,Devin Toner,https://en.wikipedia.org/wiki/Devin_Toner,senior_club,2006-2022,leinster,0,20
196,Devin Toner,https://en.wikipedia.org/wiki/Devin_Toner,international,2006,ireland u21,0,0
197,Devin Toner,https://en.wikipedia.org/wiki/Devin_Toner,international,2009-2013,ireland wolfhounds,0,5
198,Devin Toner,https://en.wikipedia.org/wiki/Devin_Toner,international,2010-2020,ireland,0,10
